n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error_if_sampled,shots_reference
1,0.10471975511965978,6.000000000000001,Y,0,E2_after_first_H,0.997260947684136,0.0016332572385572685,1024
1,0.10471975511965978,6.000000000000001,Y,0,E3_after_oracle,0.997260947684136,0.0016332572385572685,1024
1,0.10471975511965978,6.000000000000001,Y,0,E4_after_final_H,0.9972609476841363,0.0016332572385572026,1024
1,0.10471975511965978,6.000000000000001,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.10471975511965978,6.000000000000001,Z,0,E1_before_H,0.9999999999999999,3.104408582051595e-10,1024
1,0.10471975511965978,6.000000000000001,Z,0,E2_after_first_H,0.9972609476841363,0.0016332572385572026,1024
1,0.10471975511965978,6.000000000000001,Z,0,E3_after_oracle,0.9972609476841363,0.0016332572385572026,1024
1,0.10471975511965978,6.000000000000001,Z,0,E4_after_final_H,0.9999999999999999,3.104408582051595e-10,1024
1,0.10471975511965978,6.000000000000001,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.12217304763960307,7.0,X,0,E1_before_H,0.9962730758206604,0.0019042084907055726,1024
1,0.12217304763960307,7.0,X,0,E2_after_first_H,0.9999999999999994,5.807816651298881e-10,1024
1,0.12217304763960307,7.0,X,0,E3_after_oracle,0.9999999999999994,5.807816651298881e-10,1024
1,0.12217304763960307,7.0,X,0,E4_after_final_H,0.9962730758206607,0.001904208490705516,1024
1,0.12217304763960307,7.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.12217304763960307,7.0,Y,0,E1_before_H,0.9962730758206604,0.0019042084907055726,1024
1,0.12217304763960307,7.0,Y,0,E2_after_first_H,0.9962730758206604,0.0019042084907055726,1024
1,0.12217304763960307,7.0,Y,0,E3_after_oracle,0.9962730758206604,0.0019042084907055726,1024
1,0.12217304763960307,7.0,Y,0,E4_after_final_H,0.9962730758206607,0.001904208490705516,1024
1,0.12217304763960307,7.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
