n,theta_rad,theta_deg,axis,target_qubit,error_position,P0_constant,P0_balanced,success_constant,success_balanced,average_success,shots
1,0.6981317007977318,40.0,Y,0,E4_after_final_H,0.8916015625,0.1240234375,0.8916015625,0.8759765625,0.8837890625,1024
1,0.6981317007977318,40.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.6981317007977318,40.0,Z,0,E2_after_first_H,0.8857421875,0.1279296875,0.8857421875,0.8720703125,0.87890625,1024
1,0.6981317007977318,40.0,Z,0,E3_after_oracle,0.8828125,0.119140625,0.8828125,0.880859375,0.8818359375,1024
1,0.6981317007977318,40.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,E1_before_H,0.83984375,0.1728515625,0.83984375,0.8271484375,0.83349609375,1024
1,0.8726646259971648,50.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,0.8726646259971648,50.0,X,0,E4_after_final_H,0.81640625,0.18359375,0.81640625,0.81640625,0.81640625,1024
1,0.8726646259971648,50.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.8726646259971648,50.0,Y,0,E1_before_H,0.8232421875,0.177734375,0.8232421875,0.822265625,0.82275390625,1024
1,0.8726646259971648,50.0,Y,0,E2_after_first_H,0.8203125,0.1796875,0.8203125,0.8203125,0.8203125,1024
1,0.8726646259971648,50.0,Y,0,E3_after_oracle,0.8291015625,0.205078125,0.8291015625,0.794921875,0.81201171875,1024
1,0.8726646259971648,50.0,Y,0,E4_after_final_H,0.8388671875,0.1650390625,0.8388671875,0.8349609375,0.8369140625,1024
1,0.8726646259971648,50.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,E2_after_first_H,0.8173828125,0.1748046875,0.8173828125,0.8251953125,0.8212890625,1024
1,0.8726646259971648,50.0,Z,0,E3_after_oracle,0.81640625,0.1982421875,0.81640625,0.8017578125,0.80908203125,1024
1,0.8726646259971648,50.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,E1_before_H,0.7509765625,0.240234375,0.7509765625,0.759765625,0.75537109375,1024
1,1.0471975511965976,59.99999999999999,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,E4_after_final_H,0.7509765625,0.240234375,0.7509765625,0.759765625,0.75537109375,1024
