n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success_probability,std_error,shots
1,0.22689280275926285,13.0,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.22689280275926285,13.0,Y,0,constant_0,E1_before_H,0.9921875,0.9921875,0.0027513251146446885,1024
1,0.22689280275926285,13.0,Y,0,constant_0,E2_after_first_H,0.990234375,0.990234375,0.003073045867962428,1024
1,0.22689280275926285,13.0,Y,0,constant_0,E3_after_oracle,0.978515625,0.978515625,0.0045310125617596345,1024
1,0.22689280275926285,13.0,Y,0,constant_0,E4_after_final_H,0.984375,0.984375,0.0038756122720672716,1024
1,0.22689280275926285,13.0,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.22689280275926285,13.0,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.22689280275926285,13.0,Z,0,constant_0,E2_after_first_H,0.9912109375,0.9912109375,0.002916784482801634,1024
1,0.22689280275926285,13.0,Z,0,constant_0,E3_after_oracle,0.9853515625,0.9853515625,0.00375440636676496,1024
1,0.22689280275926285,13.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.24434609527920614,14.0,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.24434609527920614,14.0,X,0,constant_0,E1_before_H,0.9833984375,0.9833984375,0.0039929076065997795,1024
1,0.24434609527920614,14.0,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.24434609527920614,14.0,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.24434609527920614,14.0,X,0,constant_0,E4_after_final_H,0.9873046875,0.9873046875,0.0034986243865512676,1024
1,0.24434609527920614,14.0,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.24434609527920614,14.0,Y,0,constant_0,E1_before_H,0.9873046875,0.9873046875,0.0034986243865512676,1024
1,0.24434609527920614,14.0,Y,0,constant_0,E2_after_first_H,0.984375,0.984375,0.0038756122720672716,1024
1,0.24434609527920614,14.0,Y,0,constant_0,E3_after_oracle,0.984375,0.984375,0.0038756122720672716,1024
1,0.24434609527920614,14.0,Y,0,constant_0,E4_after_final_H,0.986328125,0.986328125,0.003628898070360046,1024
1,0.24434609527920614,14.0,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.24434609527920614,14.0,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.24434609527920614,14.0,Z,0,constant_0,E2_after_first_H,0.9833984375,0.9833984375,0.0039929076065997795,1024
1,0.24434609527920614,14.0,Z,0,constant_0,E3_after_oracle,0.986328125,0.986328125,0.003628898070360046,1024
1,0.24434609527920614,14.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,X,0,constant_0,E1_before_H,0.984375,0.984375,0.0038756122720672716,1024
1,0.2617993877991494,14.999999999999998,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,X,0,constant_0,E4_after_final_H,0.984375,0.984375,0.0038756122720672716,1024
1,0.2617993877991494,14.999999999999998,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.2617993877991494,14.999999999999998,Y,0,constant_0,E1_before_H,0.9736328125,0.9736328125,0.0050070223073273865,1024
1,0.2617993877991494,14.999999999999998,Y,0,constant_0,E2_after_first_H,0.9873046875,0.9873046875,0.0034986243865512676,1024
