n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success,shots
1,0.8726646259971648,50.0,Y,0,balanced,E3_after_oracle,0.1630859375,0.8369140625,1024
1,0.8726646259971648,50.0,Y,0,balanced,E4_after_final_H,0.1630859375,0.8369140625,1024
1,0.8726646259971648,50.0,Z,0,constant_0,no_error,1.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,constant_0,E1_before_H,1.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,constant_0,E2_after_first_H,0.828125,0.828125,1024
1,0.8726646259971648,50.0,Z,0,constant_0,E3_after_oracle,0.8173828125,0.8173828125,1024
1,0.8726646259971648,50.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,constant_1,no_error,1.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,constant_1,E1_before_H,1.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,constant_1,E2_after_first_H,0.8115234375,0.8115234375,1024
1,0.8726646259971648,50.0,Z,0,constant_1,E3_after_oracle,0.8134765625,0.8134765625,1024
1,0.8726646259971648,50.0,Z,0,constant_1,E4_after_final_H,1.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,balanced,no_error,0.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,balanced,E1_before_H,0.0,1.0,1024
1,0.8726646259971648,50.0,Z,0,balanced,E2_after_first_H,0.1845703125,0.8154296875,1024
1,0.8726646259971648,50.0,Z,0,balanced,E3_after_oracle,0.173828125,0.826171875,1024
1,0.8726646259971648,50.0,Z,0,balanced,E4_after_final_H,0.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_0,no_error,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_0,E1_before_H,0.736328125,0.736328125,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_0,E2_after_first_H,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_0,E3_after_oracle,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_0,E4_after_final_H,0.7509765625,0.7509765625,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_1,no_error,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_1,E1_before_H,0.7744140625,0.7744140625,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_1,E2_after_first_H,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_1,E3_after_oracle,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_1,E4_after_final_H,0.751953125,0.751953125,1024
1,1.0471975511965976,59.99999999999999,X,0,balanced,no_error,0.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,balanced,E1_before_H,0.25390625,0.74609375,1024
1,1.0471975511965976,59.99999999999999,X,0,balanced,E2_after_first_H,0.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,balanced,E3_after_oracle,0.0,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,balanced,E4_after_final_H,0.23828125,0.76171875,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_0,no_error,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_0,E1_before_H,0.7529296875,0.7529296875,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_0,E2_after_first_H,0.7490234375,0.7490234375,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_0,E3_after_oracle,0.736328125,0.736328125,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_0,E4_after_final_H,0.740234375,0.740234375,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_1,no_error,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_1,E1_before_H,0.755859375,0.755859375,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_1,E2_after_first_H,0.75390625,0.75390625,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_1,E3_after_oracle,0.7451171875,0.7451171875,1024
1,1.0471975511965976,59.99999999999999,Y,0,constant_1,E4_after_final_H,0.740234375,0.740234375,1024
1,1.0471975511965976,59.99999999999999,Y,0,balanced,no_error,0.0,1.0,1024
1,1.0471975511965976,59.99999999999999,Y,0,balanced,E1_before_H,0.27734375,0.72265625,1024
1,1.0471975511965976,59.99999999999999,Y,0,balanced,E2_after_first_H,0.232421875,0.767578125,1024
1,1.0471975511965976,59.99999999999999,Y,0,balanced,E3_after_oracle,0.2529296875,0.7470703125,1024
1,1.0471975511965976,59.99999999999999,Y,0,balanced,E4_after_final_H,0.2548828125,0.7451171875,1024
1,1.0471975511965976,59.99999999999999,Z,0,constant_0,no_error,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,Z,0,constant_0,E1_before_H,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,Z,0,constant_0,E2_after_first_H,0.7490234375,0.7490234375,1024
