n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error,shots
1,0.22689280275926285,13.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.22689280275926285,13.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.22689280275926285,13.0,X,0,E4_after_final_H,0.986328125,0.0035962437943686024,1024
1,0.22689280275926285,13.0,X,0,no_error,1.0,0.0,1024
1,0.22689280275926285,13.0,Y,0,E1_before_H,0.9860026041666666,0.003661612415916614,1024
1,0.22689280275926285,13.0,Y,0,E2_after_first_H,0.9886067708333334,0.003292949190518667,1024
1,0.22689280275926285,13.0,Y,0,E3_after_oracle,0.9860026041666666,0.003664350069874083,1024
1,0.22689280275926285,13.0,Y,0,E4_after_final_H,0.9840494791666666,0.003869573072129424,1024
1,0.22689280275926285,13.0,Y,0,no_error,1.0,0.0,1024
1,0.22689280275926285,13.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.22689280275926285,13.0,Z,0,E2_after_first_H,0.9814453125,0.004203293092053637,1024
1,0.22689280275926285,13.0,Z,0,E3_after_oracle,0.9873046875,0.0034763283484507412,1024
1,0.22689280275926285,13.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.22689280275926285,13.0,Z,0,no_error,1.0,0.0,1024
